ACap1,ACap2,ACap3,BCap1,BCap2,BCap3
Bình Định,Thị xã Hoài Nhơn,Phường Hoài Xuân,BD,TxHN,PHX
Bình Định,Thị Xã An Nhơn,Phường Đập Đá,BD,TXAN,PDD
Bình Định,Thị Xã An Nhơn,Xã Nhơn Hậu,BD,TXAN,XNH
Bình Định,Thị Xã An Nhơn,Phường Bình Định,BD,TXAN,PBD
Bình Định,Thị Xã An Nhơn,Phường Nhơn Hưng,BD,TXAN,PNH
Bình Định,Thị Xã An Nhơn,Xã Nhơn Phong,BD,TXAN,XNP
Bình Định,Thị Xã An Nhơn,Xã Nhơn Tân,BD,TXAN,XNT
Bình Định,Thị Xã An Nhơn,Xã Nhơn Mỹ,BD,TXAN,XNM
Bình Định,Thị Xã An Nhơn,Xã Nhơn Lộc,BD,TXAN,XNL
Bình Định,Thị Xã An Nhơn,Xã Nhơn An,BD,TXAN,XNA
Bình Định,Thị Xã An Nhơn,Phường Nhơn Thành,BD,TXAN,PNT
Bình Định,Thị Xã An Nhơn,Xã Nhơn Hạnh,BD,TXAN,XNH
Bình Định,Thị Xã An Nhơn,Phường Nhơn Hòa,BD,TXAN,PNH
Bình Định,Thị Xã An Nhơn,Xã Nhơn Thọ,BD,TXAN,XNT
Bình Định,Thị Xã An Nhơn,Xã Nhơn Phúc,BD,TXAN,XNP
Bình Định,Thị Xã An Nhơn,Xã Nhơn Khánh,BD,TXAN,XNK
Bình Định,Huyện Phù Mỹ,Thị trấn Phù Mỹ,BD,HPM,TtPM
Bình Định,Huyện Phù Mỹ,Xã Mỹ Phong,BD,HPM,XMP
Bình Định,Huyện Phù Mỹ,Xã Mỹ Lộc,BD,HPM,XML
Bình Định,Huyện Phù Mỹ,Xã Mỹ Thành,BD,HPM,XMT
Bình Định,Huyện Phù Mỹ,Xã Mỹ Đức,BD,HPM,XMD
Bình Định,Huyện Phù Mỹ,Xã Mỹ Thọ,BD,HPM,XMT
Bình Định,Huyện Phù Mỹ,Xã Mỹ Tài,BD,HPM,XMT
Bình Định,Huyện Phù Mỹ,Xã Mỹ Quang,BD,HPM,XMQ
Bình Định,Huyện Phù Mỹ,Xã Mỹ Chánh,BD,HPM,XMC
Bình Định,Huyện Phù Mỹ,Xã Mỹ Thắng,BD,HPM,XMT
Bình Định,Huyện Phù Mỹ,Xã Mỹ Cát,BD,HPM,XMC
Bình Định,Huyện Phù Mỹ,Xã Mỹ An,BD,HPM,XMA
Bình Định,Huyện Phù Mỹ,Xã Mỹ Chánh Tây,BD,HPM,XMCT
Bình Định,Huyện Phù Mỹ,Xã Mỹ Châu,BD,HPM,XMC
Bình Định,Huyện Phù Mỹ,Xã Mỹ Trinh,BD,HPM,XMT
Bình Định,Huyện Phù Mỹ,Xã Mỹ Hòa,BD,HPM,XMH
Bình Định,Huyện Phù Mỹ,Thị trấn Bình Dương,BD,HPM,TtBD
Bình Định,Huyện Phù Mỹ,Xã Mỹ Hiệp,BD,HPM,XMH
Bình Định,Huyện Phù Mỹ,Xã Mỹ Lợi,BD,HPM,XML
Bình Dương,Huyện Bắc Tân Uyên,Xã Lạc An,BD,HBTU,XLA
Bình Dương,Huyện Bắc Tân Uyên,Xã Bình Mỹ,BD,HBTU,XBM
Bình Dương,Huyện Bắc Tân Uyên,Xã Tân Mỹ,BD,HBTU,XTM
Bình Dương,Huyện Bắc Tân Uyên,Xã Thường Tân,BD,HBTU,XTT
Bình Dương,Huyện Bắc Tân Uyên,Xã Tân Lập,BD,HBTU,XTL
Bình Dương,Huyện Bắc Tân Uyên,Xã Đất Cuốc,BD,HBTU,XDC
Bình Dương,Huyện Bắc Tân Uyên,Xã Hiếu Liêm,BD,HBTU,XHL
Bình Dương,Huyện Bắc Tân Uyên,Xã Tân Định,BD,HBTU,XTD
Bình Dương,Huyện Bắc Tân Uyên,Thị trấn Tân Bình,BD,HBTU,TtTB
Bình Dương,Huyện Bắc Tân Uyên,Thị trấn Tân Thành,BD,HBTU,TtTT
Bình Dương,Huyện Bàu Bàng,Xã Lai Hưng,BD,HBB,XLH
Bình Dương,Huyện Bàu Bàng,Xã Long Nguyên,BD,HBB,XLN
Bình Dương,Huyện Bàu Bàng,Xã Tân Hưng,BD,HBB,XTH
Bình Dương,Huyện Bàu Bàng,Xã Cây Trường II,BD,HBB,XCTI
Bình Dương,Huyện Bàu Bàng,Xã Hưng Hòa,BD,HBB,XHH
Bình Dương,Huyện Bàu Bàng,Xã Trừ Văn Thố,BD,HBB,XTVT
Bình Dương,Huyện Bàu Bàng,Thị Trấn Lai Uyên,BD,HBB,TTLU
Bình Dương,Huyện Dầu Tiếng,Xã Long Hòa,BD,HDT,XLH
Bình Dương,Huyện Dầu Tiếng,Xã Minh Tân,BD,HDT,XMT
Bình Dương,Huyện Dầu Tiếng,Xã Định Hiệp,BD,HDT,XDH
Bình Dương,Huyện Dầu Tiếng,Xã Minh Thạnh,BD,HDT,XMT
Bình Dương,Huyện Dầu Tiếng,Xã Thanh An,BD,HDT,XTA
Bình Dương,Huyện Dầu Tiếng,Xã Định Thành,BD,HDT,XDT
Bình Dương,Huyện Dầu Tiếng,Xã Long Tân,BD,HDT,XLT
Bình Dương,Huyện Dầu Tiếng,Xã Thanh Tuyền,BD,HDT,XTT
Bình Dương,Huyện Dầu Tiếng,Xã Định An,BD,HDT,XDA
Bình Dương,Huyện Dầu Tiếng,Xã Minh Hòa,BD,HDT,XMH
Bình Dương,Huyện Dầu Tiếng,Xã An Lập,BD,HDT,XAL
Bình Dương,Huyện Dầu Tiếng,Thị Trấn Dầu Tiếng,BD,HDT,TTDT
Bình Dương,Huyện Phú Giáo,Xã An Thái,BD,HPG,XAT
Bình Dương,Huyện Phú Giáo,Xã Tân Long,BD,HPG,XTL
Bình Dương,Huyện Phú Giáo,Xã Tân Hiệp,BD,HPG,XTH
Bình Dương,Huyện Phú Giáo,Xã An Linh,BD,HPG,XAL
Bình Dương,Huyện Phú Giáo,Xã Phước Hòa,BD,HPG,XPH
Bình Dương,Huyện Phú Giáo,Xã An Long,BD,HPG,XAL
Bình Dương,Huyện Phú Giáo,Xã Vĩnh Hòa,BD,HPG,XVH
Bình Dương,Huyện Phú Giáo,Thị Trấn Phước Vĩnh,BD,HPG,TTPV
Bình Dương,Huyện Phú Giáo,Xã An Bình,BD,HPG,XAB
Bình Dương,Huyện Phú Giáo,Xã Tam Lập,BD,HPG,XTL
Bình Dương,Huyện Phú Giáo,Xã Phước Sang,BD,HPG,XPS
Bình Dương,Thành phố Dĩ An,Phường Tân Bình,BD,TpDA,PTB
Bình Dương,Thành phố Dĩ An,Phường Dĩ An,BD,TpDA,PDA
Bình Dương,Thành phố Dĩ An,Phường Tân Đông Hiệp,BD,TpDA,PTDH
Bình Dương,Thành phố Dĩ An,Phường Bình Thắng,BD,TpDA,PBT
Bình Dương,Thành phố Dĩ An,Phường An Bình,BD,TpDA,PAB
Bình Dương,Thành phố Dĩ An,Phường Bình An,BD,TpDA,PBA
Bình Dương,Thành phố Dĩ An,Phường Đông Hòa,BD,TpDA,PDH
Bình Dương,Thành Phố Thủ Dầu Một,Phường Hiệp Thành,BD,TPTDM,PHT
Bình Dương,Thành Phố Thủ Dầu Một,Phường Chánh Nghĩa,BD,TPTDM,PCN
Bình Dương,Thành Phố Thủ Dầu Một,Phường Phú Mỹ,BD,TPTDM,PPM
Bình Dương,Thành Phố Thủ Dầu Một,Phường Định Hòa,BD,TPTDM,PDH
Bình Dương,Thành Phố Thủ Dầu Một,Phường Phú Hòa,BD,TPTDM,PPH
Bình Dương,Thành Phố Thủ Dầu Một,Phường Phú Tân,BD,TPTDM,PPT
Bình Dương,Thành Phố Thủ Dầu Một,Phường Hiệp An,BD,TPTDM,PHA
Bình Dương,Thành Phố Thủ Dầu Một,Phường Phú Thọ,BD,TPTDM,PPT
Bình Dương,Thành Phố Thủ Dầu Một,Phường Phú Lợi,BD,TPTDM,PPL
Bình Dương,Thành Phố Thủ Dầu Một,Phường Hòa Phú,BD,TPTDM,PHP
Bình Dương,Thành Phố Thủ Dầu Một,Phường Phú Cường,BD,TPTDM,PPC
Bình Dương,Thành Phố Thủ Dầu Một,Phường Tân An,BD,TPTDM,PTA
Bình Dương,Thành Phố Thủ Dầu Một,Phường Chánh Mỹ,BD,TPTDM,PCM
Bình Dương,Thành Phố Thủ Dầu Một,Phường Tương Bình Hiệp,BD,TPTDM,PTBH
Bình Dương,Thành phố Thuận An,Phường Hưng Định,BD,TpTA,PHD
Bình Dương,Thành phố Thuận An,Phường Thuận Giao,BD,TpTA,PTG
Bình Dương,Thành phố Thuận An,Phường An Thạnh,BD,TpTA,PAT
Bình Dương,Thành phố Thuận An,Xã An Sơn,BD,TpTA,XAS
Bình Dương,Thành phố Thuận An,Phường An Phú,BD,TpTA,PAP
Bình Dương,Thành phố Thuận An,Phường Bình Chuẩn,BD,TpTA,PBC
Bình Dương,Thành phố Thuận An,Phường Bình Nhâm,BD,TpTA,PBN
Bình Dương,Thành phố Thuận An,Phường Bình Hòa,BD,TpTA,PBH
Bình Dương,Thành phố Thuận An,Phường Vĩnh Phú,BD,TpTA,PVP
Bình Dương,Thành phố Thuận An,Phường Lái Thiêu,BD,TpTA,PLT
Bình Dương,Thị Xã Bến Cát,Xã An Tây,BD,TXBC,XAT
Bình Dương,Thị Xã Bến Cát,Phường Hòa Lợi,BD,TXBC,PHL
Bình Dương,Thị Xã Bến Cát,Phường Thới Hòa,BD,TXBC,PTH
Bình Dương,Thị Xã Bến Cát,Phường Chánh Phú Hòa,BD,TXBC,PCPH
Bình Dương,Thị Xã Bến Cát,Phường Tân Định,BD,TXBC,PTD
Bình Dương,Thị Xã Bến Cát,Xã An Điền,BD,TXBC,XAD
Bình Dương,Thị Xã Bến Cát,Xã Phú An,BD,TXBC,XPA
Bình Dương,Thị Xã Bến Cát,Phường Mỹ Phước,BD,TXBC,PMP
Bình Dương,Thị Xã Tân Uyên,Phường Vĩnh Tân,BD,TXTU,PVT
Bình Dương,Thị Xã Tân Uyên,Phường Phú Chánh,BD,TXTU,PPC
Bình Dương,Thị Xã Tân Uyên,Phường Thái Hòa,BD,TXTU,PTH
Bình Dương,Thị Xã Tân Uyên,Xã Bạch Đằng,BD,TXTU,XBD
Bình Dương,Thị Xã Tân Uyên,Xã Thạnh Hội,BD,TXTU,XTH
Bình Dương,Thị Xã Tân Uyên,Phường Khánh Bình,BD,TXTU,PKB
Bình Dương,Thị Xã Tân Uyên,Phường Tân Hiệp,BD,TXTU,PTH
Bình Dương,Thị Xã Tân Uyên,Xã Tân Vĩnh Hiệp,BD,TXTU,XTVH
Bình Dương,Thị Xã Tân Uyên,Phường Hội Nghĩa,BD,TXTU,PHN
Bình Dương,Thị Xã Tân Uyên,Phường Tân Phước Khánh,BD,TXTU,PTPK
Bình Dương,Thị Xã Tân Uyên,Phường Uyên Hưng,BD,TXTU,PUH
Bình Dương,Thị Xã Tân Uyên,Phường Thạnh Phước,BD,TXTU,PTP
Bình Phước,Huyện Bù Đăng,Xã Nghĩa Bình,BP,HBD,XNB
Bình Phước,Huyện Bù Đăng,Xã Đăng Hà,BP,HBD,XDH
Bình Phước,Huyện Bù Đăng,Xã Đoàn Kết,BP,HBD,XDK
Bình Phước,Huyện Bù Đăng,Xã Thống Nhất,BP,HBD,XTN
Bình Phước,Huyện Bù Đăng,Thị trấn Đức Phong,BP,HBD,TtDP
Bình Phước,Huyện Bù Đăng,Xã Đức Liễu,BP,HBD,XDL
Bình Phước,Huyện Bù Đăng,Xã Nghĩa Trung,BP,HBD,XNT
Bình Phước,Huyện Bù Đăng,Xã Minh Hưng,BP,HBD,XMH
Bình Phước,Huyện Bù Đăng,Xã Đắk Nhau,BP,HBD,XDN
Bình Phước,Huyện Bù Đăng,Xã Đồng Nai,BP,HBD,XDN
Bình Phước,Huyện Bù Đăng,Xã Phước Sơn,BP,HBD,XPS
Bình Phước,Huyện Bù Đăng,Xã Bình Minh,BP,HBD,XBM
Bình Phước,Huyện Bù Đăng,Xã Thọ Sơn,BP,HBD,XTS
Bình Phước,Huyện Bù Đăng,Xã Đường 10,BP,HBD,XD1
Bình Phước,Huyện Bù Đăng,Xã Bom Bo,BP,HBD,XBB
Bình Phước,Huyện Bù Đăng,Xã Phú Sơn,BP,HBD,XPS
Bình Phước,Huyện Đồng Phú,Xã Tân Lập,BP,HDP,XTL
Bình Phước,Huyện Đồng Phú,Xã Đồng Tiến,BP,HDP,XDT
Bình Phước,Huyện Đồng Phú,Xã Tân Lợi,BP,HDP,XTL
Bình Phước,Huyện Đồng Phú,Xã Tân Phước,BP,HDP,XTP
Bình Phước,Huyện Đồng Phú,Xã Tân Hưng,BP,HDP,XTH
Bình Phước,Huyện Đồng Phú,Xã Tân Hòa,BP,HDP,XTH
Bình Phước,Huyện Đồng Phú,Xã Thuận Phú,BP,HDP,XTP
Bình Phước,Huyện Đồng Phú,Xã Đồng Tâm,BP,HDP,XDT
Bình Phước,Huyện Đồng Phú,Thị trấn Tân phú,BP,HDP,TtTp
Bình Phước,Huyện Đồng Phú,Xã Tân Tiến,BP,HDP,XTT
Bình Phước,Huyện Đồng Phú,Xã Thuận Lợi,BP,HDP,XTL
Bình Phước,Huyện Lộc Ninh,Thị trấn Lộc Ninh,BP,HLN,TtLN
Bình Phước,Huyện Lộc Ninh,Xã Lộc Thuận,BP,HLN,XLT
Bình Phước,Huyện Lộc Ninh,Xã Lộc Khánh,BP,HLN,XLK
Bình Phước,Huyện Lộc Ninh,Xã Lộc Thái,BP,HLN,XLT
Bình Phước,Huyện Lộc Ninh,Xã Lộc Điền,BP,HLN,XLD
Bình Phước,Huyện Lộc Ninh,Xã Lộc Thành,BP,HLN,XLT
Bình Phước,Huyện Lộc Ninh,Xã Lộc Hoà,BP,HLN,XLH
Bình Phước,Huyện Lộc Ninh,Xã Lộc Hưng,BP,HLN,XLH
Bình Phước,Huyện Lộc Ninh,Xã Lộc Hiệp,BP,HLN,XLH
Bình Phước,Huyện Lộc Ninh,Xã Lộc Thiện,BP,HLN,XLT
Bình Phước,Huyện Lộc Ninh,Xã Lộc Tấn,BP,HLN,XLT
Bình Phước,Huyện Lộc Ninh,Xã Lộc Thạnh,BP,HLN,XLT
Bình Phước,Huyện Lộc Ninh,Xã Lộc Phú,BP,HLN,XLP
Bình Phước,Huyện Lộc Ninh,Xã Lộc Quang,BP,HLN,XLQ
Bình Phước,Huyện Lộc Ninh,Xã Lộc An,BP,HLN,XLA
Bình Phước,Huyện Lộc Ninh,Xã Lộc Thịnh,BP,HLN,XLT
Bình Phước,Thị Xã Bình Long,Xã Thanh Lương,BP,TXBL,XTL
Bình Phước,Thị Xã Bình Long,Xã Thanh Phú,BP,TXBL,XTP
Bình Phước,Thị Xã Bình Long,Phường Phú Đức,BP,TXBL,PPD
Bình Phước,Thị Xã Bình Long,Phường Phú Thịnh,BP,TXBL,PPT
Bình Phước,Thị Xã Bình Long,Phường An Lộc,BP,TXBL,PAL
Bình Phước,Thị Xã Bình Long,Phường Hưng Chiến,BP,TXBL,PHC
Bình Phước,Thị Xã Phước Long,Xã Phước Tín,BP,TXPL,XPT
Bình Phước,Thị Xã Phước Long,Phường Sơn Giang,BP,TXPL,PSG
Bình Phước,Thị Xã Phước Long,Xã Long Giang,BP,TXPL,XLG
Bình Phước,Thị Xã Phước Long,Phường Long Phước,BP,TXPL,PLP
Bình Phước,Thị Xã Phước Long,Phường Thác Mơ,BP,TXPL,PTM
Bình Phước,Thị Xã Phước Long,Phường Long Thủy,BP,TXPL,PLT
Bình Phước,Thị Xã Phước Long,Phường Phước Bình,BP,TXPL,PPB
Bình Phước,Huyện Bù Đốp,Xã Thiện Hưng,BP,HBD,XTH
Bình Phước,Huyện Bù Đốp,Xã Tân Thành,BP,HBD,XTT
Bình Phước,Huyện Bù Đốp,Xã Phước Thiện,BP,HBD,XPT
Bình Phước,Huyện Bù Đốp,Xã Tân Tiến,BP,HBD,XTT
Bình Phước,Huyện Bù Đốp,Thị trấn Thanh Bình,BP,HBD,TtTB
Bình Phước,Huyện Bù Đốp,Xã Thanh Hoà,BP,HBD,XTH
Bình Phước,Huyện Bù Đốp,Xã Hưng Phước,BP,HBD,XHP
Bình Phước,Huyện Bù Gia Mập,Xã Đắk Ơ,BP,HBGM,XDO
Bình Phước,Huyện Bù Gia Mập,Xã Đức Hạnh,BP,HBGM,XDH
Bình Phước,Huyện Bù Gia Mập,Xã Phú Nghĩa,BP,HBGM,XPN
Bình Phước,Huyện Bù Gia Mập,Xã Bình Thắng,BP,HBGM,XBT
Bình Phước,Huyện Bù Gia Mập,Xã Phước Minh,BP,HBGM,XPM
Bình Phước,Huyện Bù Gia Mập,Xã Đa Kia,BP,HBGM,XDK
Bình Phước,Huyện Bù Gia Mập,Xã Phú Văn,BP,HBGM,XPV
Bình Phước,Huyện Bù Gia Mập,Xã Bù Gia Mập,BP,HBGM,XBGM
Bình Phước,Huyện Chơn Thành,Xã Minh Lập,BP,HCT,XML
Bình Phước,Huyện Chơn Thành,Xã Quang Minh,BP,HCT,XQM
Bình Phước,Huyện Chơn Thành,Xã Minh Thắng,BP,HCT,XMT
Bình Phước,Huyện Chơn Thành,Thị trấn Chơn Thành,BP,HCT,TtCT
Bình Phước,Huyện Chơn Thành,Xã Minh Long,BP,HCT,XML
Bình Phước,Huyện Chơn Thành,Xã Thành Tâm,BP,HCT,XTT
Bình Phước,Huyện Chơn Thành,Xã Minh Thành,BP,HCT,XMT
Bình Phước,Huyện Chơn Thành,Xã Nha Bích,BP,HCT,XNB
Bình Phước,Huyện Chơn Thành,Xã Minh Hưng,BP,HCT,XMH
Bình Phước,Huyện Hớn Quản,Xã Minh Tâm,BP,HHQ,XMT
Bình Phước,Huyện Hớn Quản,Xã Thanh Bình,BP,HHQ,XTB
Bình Phước,Huyện Hớn Quản,Xã Tân Hiệp,BP,HHQ,XTH
Bình Phước,Huyện Hớn Quản,Xã Thanh An,BP,HHQ,XTA
Bình Phước,Huyện Hớn Quản,Xã Tân Hưng,BP,HHQ,XTH
Bình Phước,Huyện Hớn Quản,Xã Tân Lợi,BP,HHQ,XTL
Bình Phước,Huyện Hớn Quản,Xã Phước An,BP,HHQ,XPA
Bình Phước,Huyện Hớn Quản,Xã An Khương,BP,HHQ,XAK
Bình Phước,Huyện Hớn Quản,Xã An Phú,BP,HHQ,XAP
Bình Phước,Huyện Hớn Quản,Xã Đồng Nơ,BP,HHQ,XDN
Bình Phước,Huyện Hớn Quản,Xã Tân Quan,BP,HHQ,XTQ
Bình Phước,Huyện Hớn Quản,Xã Minh Đức,BP,HHQ,XMD
Bình Phước,Huyện Hớn Quản,Thị Trấn Tân Khai,BP,HHQ,TTTK
Bình Phước,Thành Phố Đồng Xoài,Xã Tân Thành,BP,TPDX,XTT
Bình Phước,Thành Phố Đồng Xoài,Phường Tân Phú,BP,TPDX,PTP
Bình Phước,Thành Phố Đồng Xoài,Xã Tiến Hưng,BP,TPDX,XTH
Bình Phước,Thành Phố Đồng Xoài,Phường Tân Thiện,BP,TPDX,PTT
Bình Phước,Thành Phố Đồng Xoài,Phường Tiến Thành,BP,TPDX,PTT
Bình Phước,Thành Phố Đồng Xoài,Phường Tân Đồng,BP,TPDX,PTD
Bình Phước,Thành Phố Đồng Xoài,Phường Tân Xuân,BP,TPDX,PTX
Bình Phước,Thành Phố Đồng Xoài,Phường Tân Bình,BP,TPDX,PTB
Bình Phước,Huyện Phú Riềng,Xã Phước Tân,BP,HPR,XPT
Bình Phước,Huyện Phú Riềng,Xã Bình Sơn,BP,HPR,XBS
Bình Phước,Huyện Phú Riềng,Xã Long Hưng,BP,HPR,XLH
Bình Phước,Huyện Phú Riềng,Xã Long Bình,BP,HPR,XLB
Bình Phước,Huyện Phú Riềng,Xã Bù Nho,BP,HPR,XBN
Bình Phước,Huyện Phú Riềng,Xã Long Hà,BP,HPR,XLH
Bình Phước,Huyện Phú Riềng,Xã Phú Trung,BP,HPR,XPT
Bình Phước,Huyện Phú Riềng,Xã Bình Tân,BP,HPR,XBT
Bình Phước,Huyện Phú Riềng,Xã Phú Riềng,BP,HPR,XPR
Bình Phước,Huyện Phú Riềng,Xã Long Tân,BP,HPR,XLT
Bình Thuận,Huyện Phú Quí,Xã Long Hải,BT,HPQ,XLH
Bình Thuận,Huyện Phú Quí,Xã Ngũ Phụng,BT,HPQ,XNP
Bình Thuận,Huyện Phú Quí,Xã Tam Thanh,BT,HPQ,XTT
Bình Thuận,Huyện Tuy Phong,Xã Phan Dũng,BT,HTP,XPD
Bình Thuận,Huyện Tuy Phong,Xã Bình Thạnh,BT,HTP,XBT
Bình Thuận,Huyện Tuy Phong,Thị trấn Liên Hương,BT,HTP,TtLH
Bình Thuận,Huyện Tuy Phong,Xã Vĩnh Tân,BT,HTP,XVT
Bình Thuận,Huyện Tuy Phong,Xã Hoà Minh,BT,HTP,XHM
Bình Thuận,Huyện Tuy Phong,Xã Phú Lạc,BT,HTP,XPL
Bình Thuận,Huyện Tuy Phong,Xã Phong Phú,BT,HTP,XPP
Bình Thuận,Huyện Tuy Phong,Xã Vĩnh Hảo,BT,HTP,XVH
Bình Thuận,Huyện Tuy Phong,Xã Chí Công,BT,HTP,XCC
Bình Thuận,Huyện Tuy Phong,Thị trấn Phan Rí Cửa,BT,HTP,TtPRC
Bình Thuận,Huyện Tuy Phong,Xã Phước Thể,BT,HTP,XPT
Bình Thuận,Huyện Bắc Bình,Xã Hải Ninh,BT,HBB,XHN
Bình Thuận,Huyện Bắc Bình,Thị trấn Chợ Lầu,BT,HBB,TtCL
Bình Thuận,Huyện Bắc Bình,Thị trấn Lương Sơn,BT,HBB,TtLS
Bình Thuận,Huyện Bắc Bình,Xã Phan Điền,BT,HBB,XPD
Bình Thuận,Huyện Bắc Bình,Xã Phan Tiến,BT,HBB,XPT
Bình Thuận,Huyện Bắc Bình,Xã Phan Hiệp,BT,HBB,XPH
Bình Thuận,Huyện Bắc Bình,Xã Bình Tân,BT,HBB,XBT
Bình Thuận,Huyện Bắc Bình,Xã Phan Thanh,BT,HBB,XPT
Bình Thuận,Huyện Bắc Bình,Xã Sông Lũy,BT,HBB,XSL
Bình Thuận,Huyện Bắc Bình,Xã Hồng Thái,BT,HBB,XHT
Bình Thuận,Huyện Bắc Bình,Xã Sông Bình,BT,HBB,XSB
Bình Thuận,Huyện Bắc Bình,Xã Hoà Thắng,BT,HBB,XHT
Bình Thuận,Huyện Bắc Bình,Xã Phan Rí Thành,BT,HBB,XPRT
Bình Thuận,Huyện Bắc Bình,Xã Phan Hoà,BT,HBB,XPH
Bình Thuận,Huyện Bắc Bình,Xã Hồng Phong,BT,HBB,XHP
Bình Thuận,Huyện Bắc Bình,Xã Phan Lâm,BT,HBB,XPL
Bình Thuận,Huyện Bắc Bình,Xã Phan Sơn,BT,HBB,XPS
Bình Thuận,Huyện Bắc Bình,Xã Bình An,BT,HBB,XBA
Bình Thuận,Huyện Hàm Thuận Nam,Xã Hàm Thạnh,BT,HHTN,XHT
Bình Thuận,Huyện Hàm Thuận Nam,Xã Tân Lập,BT,HHTN,XTL
Bình Thuận,Huyện Hàm Thuận Nam,Xã Hàm Cần,BT,HHTN,XHC
Bình Thuận,Huyện Hàm Thuận Nam,Xã Tân Thành,BT,HHTN,XTT
Bình Thuận,Huyện Hàm Thuận Nam,Xã Hàm Kiệm,BT,HHTN,XHK
Bình Thuận,Huyện Hàm Thuận Nam,Xã Hàm Minh,BT,HHTN,XHM
Bình Thuận,Huyện Hàm Thuận Nam,Xã Hàm Mỹ,BT,HHTN,XHM
Bình Thuận,Huyện Hàm Thuận Nam,Xã Hàm Cường,BT,HHTN,XHC
Bình Thuận,Huyện Hàm Thuận Nam,Xã Tân Thuận,BT,HHTN,XTT
Bình Thuận,Huyện Hàm Thuận Nam,Xã Mương Mán,BT,HHTN,XMM
Bình Thuận,Huyện Hàm Thuận Nam,Thị trấn Thuận Nam,BT,HHTN,TtTN
Bình Thuận,Huyện Hàm Thuận Nam,Xã Thuận Quí,BT,HHTN,XTQ
Bình Thuận,Huyện Hàm Thuận Nam,Xã Mỹ Thạnh,BT,HHTN,XMT
Bình Thuận,Huyện Hàm Tân,Xã Tân Đức,BT,HHT,XTD
Bình Thuận,Huyện Hàm Tân,Xã Tân Xuân,BT,HHT,XTX
Bình Thuận,Huyện Hàm Tân,Xã Tân Phúc,BT,HHT,XTP
Bình Thuận,Huyện Hàm Tân,Xã Tân Thắng,BT,HHT,XTT
Bình Thuận,Huyện Hàm Tân,Xã Sông Phan,BT,HHT,XSP
Bình Thuận,Huyện Hàm Tân,Xã Thắng Hải,BT,HHT,XTH
Bình Thuận,Huyện Hàm Tân,Thị trấn Tân Minh,BT,HHT,TtTM
Bình Thuận,Huyện Hàm Tân,Thị trấn Tân Nghĩa,BT,HHT,TtTN
Bình Thuận,Huyện Hàm Tân,Xã Sơn Mỹ,BT,HHT,XSM
Bình Thuận,Huyện Hàm Tân,Xã Tân Hà,BT,HHT,XTH
Bình Thuận,Thị Xã La Gi,Phường Bình Tân,BT,TXLG,PBT
Bình Thuận,Thị Xã La Gi,Phường Tân Thiện,BT,TXLG,PTT
Bình Thuận,Thị Xã La Gi,Xã Tân Hải,BT,TXLG,XTH
Bình Thuận,Thị Xã La Gi,Phường Tân An,BT,TXLG,PTA
Bình Thuận,Thị Xã La Gi,Xã Tân Bình,BT,TXLG,XTB
Bình Thuận,Thị Xã La Gi,Phường Phước Hội,BT,TXLG,PPH
Bình Thuận,Thị Xã La Gi,Xã Tân Tiến,BT,TXLG,XTT
Bình Thuận,Thị Xã La Gi,Phường Phước Lộc,BT,TXLG,PPL
Bình Thuận,Thị Xã La Gi,Xã Tân Phước,BT,TXLG,XTP
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hồng Sơn,BT,HHTB,XHS
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hàm Hiệp,BT,HHTB,XHH
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hàm Chính,BT,HHTB,XHC
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hàm Phú,BT,HHTB,XHP
Bình Thuận,Huyện Hàm Thuận Bắc,Thị trấn Phú Long,BT,HHTB,TtPL
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hàm Đức,BT,HHTB,XHD
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Đông Tiến,BT,HHTB,XDT
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hàm Liêm,BT,HHTB,XHL
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hàm Thắng,BT,HHTB,XHT
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Thuận Minh,BT,HHTB,XTM
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hồng Liêm,BT,HHTB,XHL
Bình Thuận,Huyện Hàm Thuận Bắc,Xã La Dạ,BT,HHTB,XLD
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Thuận Hòa,BT,HHTB,XTH
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Đông Giang,BT,HHTB,XDG
Bình Thuận,Huyện Hàm Thuận Bắc,Thị trấn Ma Lâm,BT,HHTB,TtML
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Đa Mi,BT,HHTB,XDM
Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hàm Trí,BT,HHTB,XHT
Bình Thuận,Huyện Tánh Linh,Xã Gia Huynh,BT,HTL,XGH
Bình Thuận,Huyện Tánh Linh,Xã Đức Thuận,BT,HTL,XDT
Bình Thuận,Huyện Tánh Linh,Thị trấn Lạc Tánh,BT,HTL,TtLT
Bình Thuận,Huyện Tánh Linh,Xã Bắc Ruộng,BT,HTL,XBR
